title,vote_average,vote_count,release_date,runtime,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,keywords,revenue
Miracle,7.068,537,2004-02-06,135.0,28000000.0,en,Miracle,"When college coach Herb Brooks is hired to helm the 1980 U.S. men's Olympic hockey team, he brings a unique and brash style to the ice. After assembling a team of hot-headed college all-stars, who are humiliated in an early match, Brooks unites his squad against a common foe: the heavily-favored Soviet team.",11.505,"If you believe in yourself, anything can happen.","Drama, History",Walt Disney Pictures,United States of America,English,"sports, olympic games, ice hockey, milwaukee wisconsin, saint paul, minnesota, gas rationing, lake placid new york, aftercreditsstinger, duringcreditsstinger",64.445708
The Unholy,6.667,1984,2021-03-31,99.0,10000000.0,en,The Unholy,"Alice is young hearing-impaired girl who, after a supposed visitation from the Virgin Mary, is inexplicably able to hear, speak and heal the sick. As word spreads and people from near and far flock to witness her miracles, a disgraced journalist hoping to revive his career visits the small New England town to investigate. When terrifying events begin to happen all around, he starts to question if these phenomena are the works of the Virgin Mary or something much more sinister.",44.907,Be careful who you pray to.,"Horror, Mystery","Ghost House Pictures, Screen Gems",United States of America,"English, Latin","demon, religious horror",30.833138
Jolly LLB 2,6.918,116,2017-02-09,140.0,4480000.0,hi,जॉली एलएलबी 2,"A blunt, abrasive and yet oddly compassionate Jagdishwar Mishra aka Jolly, a small-time struggling lawyer who moves from Kanpur to the city of Nawabs to pursue his dream of becoming a big-time lawyer.",7.372,,"Comedy, Crime",Star Studios,India,Hindi,"courtroom, celebrity lawyer",1.63244
Dallas Buyers Club,7.932,8004,2013-11-01,117.0,5000000.0,en,Dallas Buyers Club,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",20.121,Sometimes it takes a hustler to change the world,"Drama, History","Truth Entertainment, Voltage Pictures, CE, Evolution Independent, R² Films, Rainmaker Films, Focus Features",United States of America,"English, Japanese","aids, homophobia, rodeo, texas, biography, dallas texas, based on true story, hiv, drugs, lgbt, treatment, 1980s, trans woman",55.736588
Tiny Furniture,5.7,138,2010-11-12,99.0,65000.0,en,Tiny Furniture,"After graduating from film school, Aura returns to New York to live with her photographer mother, Siri, and her sister, Nadine, who has just finished high school. Aura is directionless and wonders where to go next in her career and her life. She takes a job in a restaurant and tries unsuccessfully to develop relationships with men, including Keith, a chef where she works, and cult Internet star Jed.",8.862,"Aura would like you to know that she is having a very, very hard time.","Romance, Comedy, Drama",Tiny Ponies,United States of America,English,"sibling relationship, parent child relationship, woman director",0.416498
The First Wives Club,6.7,695,1996-09-20,102.0,26000000.0,en,The First Wives Club,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",15.685,Don't get mad. Get everything.,Comedy,Scott Rudin Productions,United States of America,English,"based on novel or book, revenge, divorce, divorced woman, reunited friends, lgbt interest",116.4
A Quiet Place,7.396,13079,2018-04-03,91.0,17000000.0,en,A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,38.002,"If they hear you, they hunt you.","Horror, Drama, Science Fiction","Paramount, Platinum Dunes",United States of America,English,"pregnancy, fireworks, deaf, post-apocalyptic future, alien life-form, child in peril, creature, alien invasion, parenting, survival horror, human vs alien, sign languages, anxious",341.0
The Host,6.29,3765,2013-03-22,125.0,44000000.0,en,The Host,"A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.",23.075,You will be one of us,"Action, Adventure, Science Fiction","Open Road Films, Nick Wechsler Productions, Silver Reel, Chockstone Pictures, Universal Pictures",United States of America,English,"based on novel or book, mass murder, dystopia, genocide, alien invasion, duringcreditsstinger, interspecies romance, alien parasites, based on young adult novel",63.327201
A Whole Life Ahead,6.58,288,2008-03-28,117.0,6150000.0,it,Tutta la vita davanti,"25-year-old philosophy major Marta faces the ugly truth for many young Italians—a total lack of career opportunities. While babysitting for single mother Sonia, she starts to work at the call center of a company selling junk to housewives, quickly rising through its ranks and experiencing first-hand the fanatical and exploitative competition culture pushed on employees. Around her revolve other people, like delusional supervisor Daniela, her boss Claudio, fragile coworker Lucio, and well-meaning but inconsistent union rep Giorgio.",7.034,,"Comedy, Drama","Medusa Film, Motorino Amaranto, Sky Italia",Italy,Italian,"call center, unemployment, labor organizer, social issues, dramedy, graduate student, workplace comedy, worker's rights, romantic misunderstanding, bullying in the workplace",5.788176
The War in Space,5.846,13,1977-12-17,91.0,2000000.0,ja,惑星大戦争,"The year is 1988, and in the midst of recovering from a near-miss with a large comet, Earth finds that there are much worse matters at hand: the sudden arrival of a strange army of aliens and their fleet of unstoppable warships.",2.806,The Space War to Decide the Fate of All Mankind!,"Adventure, Science Fiction, Action","TOHO, Toho Pictures",Japan,Japanese,"sequel, alien, space, alien invasion",4.0
Laggies,6.133,1070,2014-09-25,100.0,5000000.0,en,Laggies,"Overeducated and underemployed, 28 year old Megan is in the throes of a quarterlife crisis. Squarely into adulthood with no career prospects, no particular motivation to think about her future and no one to relate to, Megan is comfortable lagging a few steps behind - while her friends check off milestones and celebrate their new grown-up status. When her high-school sweetheart proposes, Megan panics and- given an unexpected opportunity to escape for a week - hides out in the home of her new friend, 16-year old Annika and Annika's world-weary single dad Craig.",7.991,Acting your age is so overrated.,"Comedy, Drama, Romance","Anonymous Content, Merced Media Partners, PenLife Media",United States of America,English,"friendship, parent child relationship, coming of age, female protagonist, mumblecore, woman director, young women",2.379154
Shocker,5.552,375,1989-03-23,109.0,5000000.0,en,Shocker,"After being sent to the electric chair, a serial killer uses electricity to come back from the dead and carry out his vengeance on the football player who turned him in to the police.",18.677,"On October 2, at 6:45 AM mass murderer Horace Pinker was put to death. Now, he's really mad.","Horror, Thriller","Alive Films, Universal Pictures, Carolco Pictures",United States of America,English,"psychopath, sadistic, detective, blackout, gore, murder, capital punishment, slasher, maniac, rage, killer, evil, madman, insane",16.554699
The Wedding Singer,6.769,1577,1998-02-13,100.0,18000000.0,en,The Wedding Singer,"Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.",15.439,He's gonna party like it's 1985.,"Romance, Comedy","Robert Simonds Productions, Juno Pix, New Line Cinema",United States of America,English,"marriage proposal, love of one's life, wedding vows, bride, bridegroom, falling in love",123.306987
The Exorcist,7.72,7247,1973-12-26,122.0,12000000.0,en,The Exorcist,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",94.668,"Something almost beyond comprehension is happening to a girl on this street, in this house… and a man has been sent for as a last resort. This man is The Exorcist.",Horror,"Hoya Productions, Warner Bros. Pictures",United States of America,"German, French, Latin, Arabic, Greek, English","religion and supernatural, exorcism, holy water, paranormal phenomena, possession, vomit, satan, priest, ouija board, demon, strong language, catholic church, demonic possession, disturbed child, crisis of faith, sfx, religious horror, supernatural horror",441.405644
Babel,7.181,3427,2006-09-08,143.0,25000000.0,en,Babel,"In Babel, a tragic incident involving an American couple in Morocco sparks a chain of events for four families in different countries throughout the world. In the struggle to overcome isolation, fear, and displacement, each character discovers that it is family that ultimately provides solace. In the remote sands of the Moroccan desert, a rifle shot rings out  detonating a chain of events that will link an American tourist couples frantic struggle to survive, two Moroccan boys involved in an accidental crime, a nanny illegally crossing into Mexico with two American children and a Japanese teen rebel whose father is sought by the police in Tokyo. Separated by clashing cultures and sprawling distances, each of these four disparate groups of people are nevertheless hurtling towards a shared destiny of isolation and grief.",16.306,If You Want to be Understood... Listen.,Drama,"Babel Productions Inc., Paramount, Paramount Vantage, MRC, Anonymous Content, Central Films","France, Japan, Mexico, Morocco, United States of America","Arabic, English, Spanish, French, Japanese, Russian","daughter, first time, loss of loved one, gun, deaf-mute, san diego, california, ecstasy, nanny, illegal immigration, morocco, drug use, tokyo, japan, bullet wound, multiple storylines, tijuana, incident, non linear",135.330182
The Recruit,6.348,1580,2003-01-31,115.0,46000000.0,en,The Recruit,"A brilliant CIA trainee must prove his worth at the Farm, the agency's secret training grounds, where he learns to watch his back and trust no one.",13.178,Trust. Betrayal. Deception. In the C.I.A. nothing is what it seems.,"Action, Thriller",Birnbaum / Barber Productions,United States of America,"English, Persian, Russian","cia, washington dc, usa, spy, recruit, training, surveillance, extramarital affair",101.191884
Saving Silverman,5.558,475,2001-02-09,90.0,22000000.0,en,Saving Silverman,"A pair of buddies conspire to save their best friend from marrying the wrong woman, a cold-hearted beauty who snatches him from them and breaks up their Neil Diamond cover band.",13.493,They swore nothing would come between them. Then evil walked in the door,"Comedy, Crime, Romance","Village Roadshow Pictures, NPV Entertainment, Columbia Pictures","Australia, United States of America","English, Thai","kidnapping, harassment, fiancé, marriage, dark comedy, male friendship, dating, group of friends, tied to chair, duringcreditsstinger, domineering, single man, relationship sabotage",19.351569
Um Suburbano Sortudo,5.8,67,2016-02-11,110.0,6000000.0,pt,Um Suburbano Sortudo,,3.28,,Comedy,"Camisa Listrada, Panorama Filmes do Brasil, Paramount Pictures Brasil, Globo Filmes, Telecine, Paris Entretenimento, Agência Nacional do Cinema - ANCINE",Brazil,Portuguese,,11.6
One Missed Call,6.2,375,2003-11-03,112.0,1700000.0,ja,着信アリ,"People mysteriously start receiving voicemail messages from their future selves, in the form of the sound of them reacting to their own violent deaths, along with the exact date and time of their future death, listed on the message log. The plot thickens as the surviving characters pursue the answers to this mystery which could save their lives.",13.204,Death cannot be put on hold...,"Horror, Mystery","KADOKAWA, TOHO",Japan,"English, Japanese","mass murder, restaurant, victim, knife, friends, clinic, spirit, series of murders, death, phone call, murder hunt, remade",16.2
Blood Ties,6.1,428,2013-08-22,128.0,25500000.0,en,Blood Ties,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",12.674,Crime runs in the family.,"Thriller, Crime, Drama","Chi-Fou-Mi Productions, Wild Bunch, LGM Productions, Les Productions du Trésor, Mars Distribution, Worldview Entertainment, Ciné+, M6, Caneo Films, Grisbi Productions, France 4, W9, Treasure Company, Canal+, France 3 Cinéma, France Télévisions","France, United States of America","Spanish, English, Italian",1970s,2.415472
Judwaa 2,5.537,95,2017-09-29,150.0,10000000.0,hi,जुड़वा 2,"Separated at birth and peculiarly connected via their reflexes, twins Prem and Raja are reunited with each other as they set out to take down the underground smuggling world.",7.642,,"Action, Comedy, Romance","Star Studios, Nadiadwala Grandson Entertainment",India,Hindi,"twin brother, twins",34.5
New Jack City,6.556,463,1991-03-08,97.0,8500000.0,en,New Jack City,"A gangster, Nino, is in the Cash Money Brothers, making a million dollars every week selling crack. A cop, Scotty, discovers that the only way to infiltrate the gang is to become a dealer himself.",11.708,They're a new breed of gangster. The new public enemy. The new family of crime.,"Thriller, Crime, Drama","Jacmac Films, Jackson/McHenry Company, The, Warner Bros. Pictures",United States of America,English,"drug dealer, new york city, street gang, undercover agent, heroin, ghetto, gang leader, cop, crack, drugs",47.624253
Charade,7.7,1230,1963-12-05,113.0,4000000.0,en,Charade,"After Regina Lampert falls for the dashing Peter Joshua on a skiing holiday in the French Alps, she discovers upon her return to Paris that her husband has been murdered. Soon, she and Peter are giving chase to three of her late husband's World War II cronies, Tex, Scobie and Gideon, who are after a quarter of a million dollars the quartet stole while behind enemy lines. But why does Peter keep changing his name?",15.878,Is anyone really who they seem to be?,"Comedy, Mystery, Romance","Stanley Donen Films, Universal Pictures",United States of America,"English, French, German, Italian","cia, paris, france, espionage, age difference, loss of loved one, widow, spy, interpreter, stamp, caper, whodunit, train, alias, screwball comedy, caper comedy, alps mountains, notre dame cathedral, american spy",13.475
RangiTaranga,7.5,17,2015-07-03,149.0,490000.0,kn,RangiTaranga,"Mysterious events begin to unfold after a reclusive novelist and his wife move back to her ancestral village, followed by a journalist.",1.596,,"Horror, Mystery, Thriller",,India,Kannada,"pregnant woman, novelist, missing parent",5.0
Collateral,7.213,5079,2004-08-04,120.0,65000000.0,en,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,22.492,It started like any other night.,"Drama, Crime, Thriller","Paramount, Parkes/MacDonald Productions, Edge City, DreamWorks Pictures",United States of America,"Spanish, English","taxi, police, hitman, hostage, self-fulfilling prophecy, taxi driver, fbi, nightclub, briefcase, sociopath, professional hit, one night, gun violence, lapd, contract killer, neo-noir, cabbie, federal prosecutor, taxi ride, suspense thriller, los angeles airport (lax)",217.764291
Excalibur,6.944,887,1981-04-10,140.0,11000000.0,en,Excalibur,"A surreal adaptation of Sir Thomas Malory's ""Le Morte d'Arthur"", chronicling Arthur Pendragon's conception, his rise to the throne, the search by his Knights of the Round Table for the Holy Grail, and ultimately his death.",19.284,Forged by a god. Foretold by a wizard. Found by a king.,"Adventure, Fantasy","Orion Pictures, Cinema 84",United Kingdom,English,"witch, adultery, holy grail, love triangle, england, magic, prophecy, fog, mythology, castle, vision, knight, king arthur, tournament, duel, battle, mist, excalibur, wizard, lancelot, sword and sorcery",34.967437
Six Degrees of Separation,6.333,288,1993-12-08,112.0,15000000.0,en,Six Degrees of Separation,"The story of a young, gay, black, con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.",12.53,"For Paul, every person is a new door to a new world.","Mystery, Drama, Comedy","New Regency Pictures, Maiden Movies, Metro-Goldwyn-Mayer",United States of America,English,"new york city, con man, art, art dealer",6.28409
The Alamo,7.177,308,1960-10-23,167.0,12000000.0,en,The Alamo,The legendary true story of a small band of soldiers who sacrificed their lives in hopeless combat against a massive army in order to prevent a tyrant from smashing the new Republic of Texas.,14.031,The Mission That Became a Fortress! The Fortress That Became a Shrine!,Western,"United Artists, Batjac Productions, The Alamo Company",United States of America,"Spanish, English","texas, assault, alamo, mexican army",7.9
Force of Nature,5.214,462,2020-07-02,91.0,15000000.0,en,Force of Nature,A gang of thieves plan a heist during a hurricane and encounter trouble when a disgraced cop tries to force everyone in the building to evacuate.,19.02,When the perfect crime meets the perfect storm.,"Action, Adventure, Crime, Thriller","Ingenious Media, Blue Box International, FON Film Production, Force of Nature Film, Grindstone Entertainment Group, Pimienta, River Bay Films, SSS Entertainment, Way Down East Entertainment, EFO Films","Puerto Rico, United Kingdom, United States of America","English, Spanish","robbery, police, puerto rico, hurricane, gang of thieves, heist, murder, suicidal, storm, apartment building, art theft",0.638221
Case 39,6.29,2085,2009-08-13,109.0,27000000.0,en,Case 39,"In her many years as a social worker, Emily Jenkins believes she has seen it all, until she meets 10-year-old Lilith and the girl's cruel parents. Emily's worst fears are confirmed when the parents try to harm the child, and so Emily assumes custody of Lilith while she looks for a foster family. However, Emily soon finds that dark forces surround the seemingly innocent girl, and the more she tries to protect Lilith, the more horrors she encounters.",19.964,Some cases should  never be opened.,"Horror, Mystery, Thriller","Paramount Vantage, Misher Films, Anonymous Content, Case 39 Productions","Canada, United States of America",English,"child abuse, social worker, detective, office, supernatural, murder, mental institution, cityscape, drawn, falling elevator, pier, super power, deadly",29.0
War,6.514,220,2019-10-02,151.0,27941858.0,hi,War,"Khalid, is entrusted with the task of eliminating Kabir, a former soldier turned rogue, as he engages in an epic battle with his mentor who had taught him everything.",13.168,,"Action, Thriller, Adventure","Yash Raj Films, Reverie Entertainment",India,Hindi,"friendship, chase, gun, italy, portugal, spy, traitor, two man army, karate, love, betrayal, shootout, one man army, explosion, india, motorcycle, one against many, mentor protégé relationship, motorcycle chase, new delhi india, yrf spy universe",66.293455
Cocktail,6.082,1306,1988-07-29,104.0,20000000.0,en,Cocktail,"After being discharged from the Army, Brian Flanagan moves back to Queens and takes a job in a bar run by Doug Coughlin, who teaches Brian the fine art of bar-tending. Brian quickly becomes a patron favorite with his flashy drink-mixing style, and Brian adopts his mentor's cynical philosophy on life and goes for the money.",18.157,"When he pours, he reigns.","Romance, Drama, Comedy","Interscope Communications, Touchstone Pictures, Silver Screen Partners III",United States of America,"Portuguese, Spanish, English","new york city, jamaica, night life, bartender, ambition, rags to riches, cocktail",171.504781
Mirror Mirror,5.918,3030,2012-03-15,106.0,85000000.0,en,Mirror Mirror,"After she spends all her money, an evil enchantress queen schemes to marry a handsome, wealthy prince. There's just one problem - he's in love with a beautiful princess, Snow White. Now, joined by seven rebellious dwarves, Snow White launches an epic battle of good vs. evil...",21.241,The Snow White legend comes alive.,"Adventure, Comedy, Family, Fantasy","Misher Films, Relativity Media, Yucaipa Films, Goldmann Pictures, Rat Entertainment, Misha Films",United States of America,English,"fairy tale, villainess, attempted murder, black magic, insecurity, snow kingdom, evil queen, enchantress, financial problem, evil plot, duringcreditsstinger",183.018522
Dancing Lady,7.219,32,1933-11-24,92.0,923055.0,en,Dancing Lady,"Janie lives to dance and will dance anywhere, even stripping in a burlesque house. Tod Newton, the rich playboy, discovers her there and helps her get a job in a real Broadway musical being directed by Patch. Tod thinks he can get what he wants from Janie, Patch thinks Janie is using her charms rather than talent to get to the top, and Janie thinks Patch is the greatest. Steve, the stage manager, has the Three Stooges helping him manage all the show girls. Fred Astaire and Nelson Eddy make appearances as famous Broadway personalities.",5.714,The Scenes Are Enthralling! The Electrical Ballet! Girls in Cellophane! Mirrors of Venus! Merry-Go-Round Girls,"Comedy, Romance, Music",Metro-Goldwyn-Mayer,United States of America,English,"dancing, marriage proposal, dancer, based on novel or book, striptease, musical, tap dancing, great depression, stage show, theater director, revue, beautiful woman, jail, singing, black and white, choreographer, pre-code, merry go round, burlesque, manhattan, new york city, police raid, rehearsal space, broadway show, uptown, rich man, night court, determination, dance practice, financial backer, manipulated woman, manipulative male lead, dancing girls, dance rehearsal",2.4
Death Wish,6.135,2366,2018-03-02,107.0,30000000.0,en,Death Wish,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,40.484,How Far Would You Go To Protect Your Family?,"Action, Crime, Drama, Thriller","Metro-Goldwyn-Mayer, Cave 76 Productions",United States of America,English,"robbery, based on novel or book, police, gun, kidnapping, detective, remake, vigilante, shootout, dark hero, criminal, death of wife, father daughter relationship, vigilante justice",34.017028
Doctor Strange,7.427,20935,2016-10-25,115.0,180000000.0,en,Doctor Strange,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",70.535,The impossibilities are endless.,"Action, Adventure, Fantasy",Marvel Studios,United States of America,English,"magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",676.343174
Breaker! Breaker!,4.808,65,1977-04-01,86.0,250000.0,en,Breaker! Breaker!,"Truck driver searches for his brother, who has disappeared in a town run by a corrupt judge.",6.684,A town without justice. A hero without fear.,"Action, Adventure, Crime, Thriller","Paragon Films, American International Pictures",United States of America,English,"small town, martial arts, corruption, judge, truck, one man army, brutality, fighting, one against many, truck driver, action hero",12.0
Infinity Pool,6.122,430,2023-01-27,118.0,4500000.0,en,Infinity Pool,"While staying at an isolated island resort, James and Em are enjoying a perfect vacation of pristine beaches, exceptional staff, and soaking up the sun. But guided by the seductive and mysterious Gabi, they venture outside the resort grounds and find themselves in a culture filled with violence, hedonism, and untold horror. A tragic accident leaves them facing a zero tolerance policy for crime: either you'll be executed, or, if you’re rich enough to afford it, you can watch yourself die instead.",42.701,Find out what kind of a creature you really are.,"Horror, Science Fiction, Thriller","Topic Studios, Elevation Pictures, Film Forge Productions, Hero Squared, Celluloid Dreams, Neon, Téléfilm Canada, Eurimages","Canada, France, Hungary, United States of America",English,"infidelity, island, identity, clone, eroticism, orgy, hallucination, surrealism, vacation, writer's block, drug trip, interracial relationship, execution, humiliation, hedonism, body horror, nepotism",5.0784
Twixt,4.952,248,2011-09-30,89.0,7000000.0,en,Twixt,A declining writer arrives in a small town where he gets caught up in a murder mystery involving a young girl.,7.746,"Between the living and the dead, evil is waiting.","Mystery, Fantasy, Horror",American Zoetrope,United States of America,"English, French","sheriff, vampire, orphanage, writer, ghost, murder mystery",1.3
Predator,7.506,7265,1987-06-12,107.0,15000000.0,en,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,57.562,Soon the hunt will begin.,"Science Fiction, Action, Adventure, Thriller","Silver Pictures, 20th Century Fox, Lawrence Gordon Productions, Davis Entertainment, Amercent Films, American Entertainment Partners L.P., Estudios Churubusco Azteca S.A.","Mexico, United States of America","English, Spanish","guerrilla warfare, central and south america, predator, trap, alien, survival, stalking, creature, alien invasion, invisible, commando, violence",98.267558
James and the Giant Peach,6.556,1196,1996-04-12,79.0,38000000.0,en,James and the Giant Peach,"When the young orphan boy James spills a magic bag of crocodile tongues, he finds himself in possession of a giant peach that flies him away to strange lands.",27.497,Adventures this big don't grow on trees.,"Adventure, Animation, Family, Fantasy","Allied Filmmakers, Walt Disney Pictures",United States of America,English,"new york city, based on novel or book, insect, england, magic, loss of loved one, garden, musical, surrealism, aunt, anthropomorphism, stop motion, based on children's book, hot dog, manhattan, new york city, empire state building, live action and animation",28.946127
Freakonomics,6.093,107,2010-10-01,93.0,3000000.0,en,Freakonomics,Some of the world's most innovative documentary filmmakers will explore the hidden side of everything.,6.123,Things you always thought you knew but didn't,Documentary,"Chad Troutwine Films, Green Film Company, Human Worldwide, Loki Films",United States of America,English,"high school, corruption, experiment, cheating, limousine, economics, real estate, woman director",0.103735
White House Down,6.446,4421,2013-06-27,131.0,150000000.0,en,White House Down,"Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.",34.496,It will start like any other day,"Action, Drama, Thriller","Iron Horse Entertainment, Columbia Pictures, Mythology Entertainment, Centropolis Entertainment",United States of America,English,"usa president, the white house, conspiracy, secret service",205.366737
The Crow,7.502,3553,1994-05-11,102.0,23000000.0,en,The Crow,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven—watched over by a hypnotic crow—returns from the grave to exact revenge.",31.374,Believe in angels.,"Fantasy, Action, Thriller","Dimension Films, Miramax, Crowvision Inc., Entertainment Media Investment Corporation, Jeff Most Productions, Pressman Film, Summit Entertainment",United States of America,English,"martial arts, superhero, supernatural, halloween, crow, based on comic, revenge, arson, vigilante, tragic hero, back from the dead, sadist, detroit, michigan, gothic, urban setting, mourning, neo-noir, urban gothic, supernatural power, vigilante justice, good versus evil, intense, bold, tragic",50.694672
Macbeth,6.468,1366,2015-08-16,113.0,15000000.0,en,Macbeth,"Feature film adaptation of Shakespeare's Scottish play about General Macbeth whose ambitious wife urges him to use wicked means in order to gain power of the throne over the sitting king, Duncan.",11.905,All hail Macbeth that shall be king,"Drama, War","Anton Capital Entertainment, See-Saw Films, Creative Scotland, DMC Film, Film4 Productions, StudioCanal","France, United Kingdom, United States of America",English,"scotland, medieval, 11th century, william shakespeare",16.322067
Ambulance,6.7,1714,2022-03-16,136.0,40000000.0,en,Ambulance,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.",31.656,It was supposed to be a simple heist.,"Thriller, Action","Universal Pictures, Bay Films, Endeavor Content, New Republic Pictures, Project X Entertainment",United States of America,English,"ambulance, car crash, remake, officer involved shooting, los angeles, california, bank robbery, veteran, heist gone wrong, bank heist, police helicopter, brother brother relationship",51.78304
Revenge of the Ninja,6.2,121,1983-09-07,90.0,700000.0,en,Revenge of the Ninja,"After his family is killed in Japan by ninjas, Cho and his son Kane come to America to start a new life. He opens a doll shop but is unwittingly importing heroin in the dolls. When he finds out that his friend has betrayed him, Cho must prepare for the greatest battle he has ever been involved in.",9.582,400 years of training in the art of sudden death... unleashed on 20th century America.,"Action, Crime","Cannon Group, Metro-Goldwyn-Mayer, Golan-Globus Productions",United States of America,"English, French","martial arts, japan, kung fu, sequel, sword fight, ninja, gang, sword duel, throwing star",13.168027
Wendy and Lucy,6.839,279,2008-12-10,81.0,200000.0,en,Wendy and Lucy,A near-penniless drifter's journey to Alaska in search of work is interrupted when she loses her dog while attempting to shoplift food for it.,8.363,"On the long road, friendship is everything.",Drama,"Glass Eye Pix, filmscience, Washington Square Films, Field Guide Films, Oscilloscope",United States of America,English,"friendship, oregon, usa, survival, scar, dog, family, broken down car, woman director, journey, mysterious past",1.192655
The Night Before,6.089,1554,2015-11-20,101.0,25000000.0,en,The Night Before,"In New York City for their annual tradition of Christmas Eve debauchery, three lifelong best friends set out to find the Holy Grail of Christmas parties since their yearly reunion might be coming to an end.",11.792,"Their past, present and future. All in one night.","Comedy, Adventure, Fantasy","Sony Pictures, Good Universe, Point Grey Pictures, Columbia Pictures",United States of America,English,"new york city, holiday, christmas party, male friendship, hanukkah, drugs, childhood friends, christmas music, christmas",52.395996
Superman II,6.731,2069,1980-12-04,127.0,54000000.0,en,Superman II,"Three escaped criminals from the planet Krypton test the Man of Steel's mettle. Led by General Zod, the Kryptonians take control of the White House and partner with Lex Luthor to destroy Superman and rule the world. But Superman, who attempts to make himself human in order to get closer to Lois, realizes he has a responsibility to save the planet.",23.873,The Man of Steel meets his match!,"Science Fiction, Action, Adventure","Dovemead Films, Film Export A.G., Warner Bros. Pictures, DC Comics","United Kingdom, United States of America",English,"saving the world, superhero, loss of virginity, based on comic, sequel, niagara falls, criminal, super power, phantom zone, rocket fired grenade, crystal machine, superhuman strength, duringcreditsstinger",190.458706
The Super Mario Bros. Movie,7.775,6743,2023-04-05,93.0,100000000.0,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",410.411,Not all heroes wear capes. Some wear overalls.,"Animation, Family, Adventure, Fantasy, Comedy","Universal Pictures, Illumination, Nintendo","Japan, United States of America",English,"gorilla, plumber, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, evil king, cliché",1355.725263
In the Mouth of Madness,7.216,1465,1995-02-03,95.0,8000000.0,en,In the Mouth of Madness,An insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,14.562,Lived Any Good Books Lately?,"Horror, Thriller, Mystery",New Line Cinema,United States of America,English,"small town, insanity, paranoia, diner, new hampshire, disappearance, author, church, gothic, crucifix, new england, insurance investigator, ghost town, publisher, horror novel, lovecraftian",8.9466
Judy Moody and the Not Bummer Summer,6.0,81,2011-06-10,91.0,20000000.0,en,Judy Moody and the Not Bummer Summer,Third-grader Judy Moody sets out to have the most thrilling summer of her life.,10.403,Supermegatotally thrilladelic,"Comedy, Family","Relativity Media, Smokewood Entertainment",United States of America,English,"competition, family relationships, summer vacation, duringcreditsstinger",14.166853
Beach Party,6.063,32,1963-08-07,101.0,300000.0,en,Beach Party,"Anthropology Professor Robert Orwell Sutwell and his secretary Marianne are studying the sex habits of teenagers. The surfing teens led by Frankie and Dee Dee don't have much sex but they sing, battle the motorcycle rats and mice led by Eric Von Zipper and dance to Dick Dale and the Del Tones.",4.008,Surfs up and the Beach is really swinging!,"Comedy, Music","Alta Vista Productions, American International Pictures",United States of America,English,"surfer, beach, musical, madcap comedy, anthropologist",2.3
